index,sname,pname,price
마켓컬리/채소
1,마켓컬리,장흥 표고 버섯 가루 70g,"5,490원"
2,마켓컬리,건 목이버섯 30g,"3,990원"
3,마켓컬리,건 표고버섯 슬라이스 100g,"6,990원"
4,마켓컬리,건 표고버섯 100g,"6,990원"
5,마켓컬리,조각 브로콜리 250g,"3,690원"
6,마켓컬리,[선물세트] 온담 정성담은 표고 핑크솔트 세트,"19,900원"
7,마켓컬리,실파 300g,"3,990원"
8,마켓컬리,캠핑용 감자&고구마 1.6kg,"9,990원"
9,마켓컬리,친환경 감자 2kg,"5,990원"
10,마켓컬리,영암 친환경 '햇' 꿀고구마 2kg,"17,900원"
11,마켓컬리,[KF365] 흙대파 1단,"2,480원"
12,마켓컬리,무농약 간편 샐러드 6종,"1,700원"
13,마켓컬리,[KF365] 김구원선생 국내산 무농약 콩나물 300g,900원
14,마켓컬리,[KF365] 애호박 1개,920원
15,마켓컬리,[KF365] 양파 1.8kg,"3,480원"
16,마켓컬리,[KF365] 청양고추 200g,"2,480원"
17,마켓컬리,[KF365] 파프리카 2입,"2,680원"
18,마켓컬리,[KF365] 청상추 150g,"2,100원"
19,마켓컬리,[KF365] 적상추 150g,"2,100원"
20,마켓컬리,[KF365] GAP 밀양 깻잎 3속,"1,180원"
21,마켓컬리,[KF365] 팽이버섯 2입,950원
22,마켓컬리,구이용 모둠 버섯 200g,"2,390원"
23,마켓컬리,간편 스테이크용 가니쉬 모둠채소,"7,990원"
24,마켓컬리,홍감자 1kg,"4,490원"
25,마켓컬리,영암 '햇' 꿀 밤고구마 1.5kg,"9,990원"
26,마켓컬리,다진마늘 180g (냉동),"5,600원"
27,마켓컬리,[스마트팜産] 친환경 차이브 10g,"1,600원"
28,마켓컬리,[스마트팜産] 친환경 이탈리안 파슬리 10g,"1,990원"
29,마켓컬리,[스마트팜産] 친환경 세이지 10g,"1,600원"
30,마켓컬리,[스마트팜産] 친환경 타라곤 10g,"1,600원"
 
쿠팡/채소
1,쿠팡,"곰곰 채소믹스, 1kg, 1개","10,720"
2,쿠팡,"곰곰 맛있는 햇 밤고구마, 1.5kg, 1박스","8,790"
